ID,X,Y,Population,Elevation,Weight,clusters,Weight_2,ID1,ID2,line_lengt,i
"4411",212697.264399999985471,8527377.587999999523163,"5",481.071014400000024,4.663527138014085,"9",27743.271590934091364,"4411","4412",977.119831216160946,"1"
"4411",212697.264399999985471,8527377.587999999523163,"5",481.071014400000024,4.663527138014085,"9",82941.430792783896322,"4411","4475",1415.346174465286367,"2"
"4412",212654.100700000009965,8528353.754000000655651,"5",409.779998799999987,1.000000000000000,"9",27743.271590934091364,"4411","4412",977.119831216160946,"3"
"4412",212654.100700000009965,8528353.754000000655651,"5",409.779998799999987,1.000000000000000,"9",9785.491846874194380,"4412","4413",978.415442884040772,"4"
"4413",212639.071100000001024,8529332.053999999538064,"0",393.601989699999990,1.000000000000000,"9",9785.491846874194380,"4412","4413",978.415442884040772,"5"
"4413",212639.071100000001024,8529332.053999999538064,"0",393.601989699999990,1.000000000000000,"9",34185.969708281714702,"4413","4479",1406.637195891290276,"6"
"4475",213736.404700000013690,8526416.654999999329448,"8",434.957000699999980,7.050560067610808,"9",82941.430792783896322,"4411","4475",1415.346174465286367,"7"
"4475",213736.404700000013690,8526416.654999999329448,"8",434.957000699999980,7.050560067610808,"9",99771.147511778865010,"4475","4539",1416.361795005411750,"8"
"4479",213602.240699999994831,8530357.203999999910593,"0",413.921997100000056,3.860159162581532,"9",34185.969708281714702,"4413","4479",1406.637195891290276,"9"
"4479",213602.240699999994831,8530357.203999999910593,"0",413.921997100000056,3.860159162581532,"9",32381.709412021267781,"4479","4480",936.930054468124354,"10"
"4480",213638.761700000002747,8531293.422000000253320,"12",391.213012699999979,3.050111653454765,"9",32381.709412021267781,"4479","4480",936.930054468124354,"11"
"4480",213638.761700000002747,8531293.422000000253320,"12",391.213012699999979,3.050111653454765,"9",53086.360215751090436,"4480","6794",1403.567325574577580,"12"
"4538",214818.714399999997113,8524479.566999999806285,"2",476.765014600000143,9.062752453023196,"9",79347.799701486874255,"4539","4538",985.710500117986271,"13"
"4539",214785.153400000010151,8525464.706000000238419,"0",462.429992700000014,7.035160723872442,"9",99771.147511778865010,"4475","4539",1416.361795005411750,"14"
"4539",214785.153400000010151,8525464.706000000238419,"0",462.429992700000014,7.035160723872442,"9",79347.799701486874255,"4539","4538",985.710500117986271,"15"
"5841",235020.559199999988778,8528097.405999999493361,"0",400.674011199999995,7.242853826603605,"9",70594.349273629937670,"5841","5842",985.566507683633859,"16"
"5841",235020.559199999988778,8528097.405999999493361,"0",400.674011199999995,7.242853826603605,"9",72685.997866447942215,"5841","5903",1015.593231556370824,"17"
"5842",234987.088599999988219,8529082.403999999165535,"0",343.407989499999985,7.058663312030214,"9",70594.349273629937670,"5841","5842",985.566507683633859,"18"
"5842",234987.088599999988219,8529082.403999999165535,"0",343.407989499999985,7.058663312030214,"9",69610.843991961693973,"5842","5843",985.562296058560378,"19"
"5843",234953.624299999995856,8530067.398000000044703,"4",362.809997599999974,7.064717711626992,"9",69610.843991961693973,"5842","5843",985.562296058560378,"20"
"5843",234953.624299999995856,8530067.398000000044703,"4",362.809997599999974,7.064717711626992,"9",69491.349876017178758,"5843","5844",985.561086136226436,"21"
"5844",234920.166200000006938,8531052.391000000759959,"16",346.227996800000028,7.035172633119628,"9",69491.349876017178758,"5843","5844",985.561086136226436,"22"
"5844",234920.166200000006938,8531052.391000000759959,"16",346.227996800000028,7.035172633119628,"9",79089.860549948731204,"5844","5845",985.556877980529521,"23"
"5845",234886.714299999992363,8532037.380000000819564,"0",334.683013899999992,9.013507346216789,"9",113685.259562711173203,"7043","5845",1416.324417521264422,"24"
"5845",234886.714299999992363,8532037.380000000819564,"0",334.683013899999992,9.013507346216789,"9",79089.860549948731204,"5844","5845",985.556877980529521,"25"
"5903",236035.614100000006147,8528130.469000000506639,"0",350.308990499999993,7.053575171119830,"9",72685.997866447942215,"5841","5903",1015.593231556370824,"26"
"5903",236035.614100000006147,8528130.469000000506639,"0",350.308990499999993,7.053575171119830,"9",71564.351456097618211,"5903","5967",1015.586507136910768,"27"
"5967",237050.662500000005821,8528163.525000000372529,"0",339.252014200000019,7.038796077444491,"9",71564.351456097618211,"5903","5967",1015.586507136910768,"28"
"5967",237050.662500000005821,8528163.525000000372529,"0",339.252014200000019,7.038796077444491,"9",71575.716003140230896,"5967","6032",1015.579747901753763,"29"
"6032",238065.704300000012154,8528196.575999999418855,"10",341.536987300000021,7.056706513774596,"9",71575.716003140230896,"5967","6032",1015.579747901753763,"30"
"6032",238065.704300000012154,8528196.575999999418855,"10",341.536987300000021,7.056706513774596,"9",71526.090895270346664,"6032","6099",1015.573156044477969,"31"
"6095",239214.627700000011828,8524289.708999998867512,"18",368.558013899999992,1.000000000000000,"9",24147.433110830326768,"6095","6096",985.550876961188237,"32"
"6095",239214.627700000011828,8524289.708999998867512,"18",368.558013899999992,1.000000000000000,"9",29199.501203716812597,"6095","6162",1015.553217928080130,"33"
"6096",239181.146500000002561,8525274.690999999642372,"11",346.502014200000019,3.899064877458235,"9",24147.433110830326768,"6095","6096",985.550876961188237,"34"
"6096",239181.146500000002561,8525274.690999999642372,"11",346.502014200000019,3.899064877458235,"9",41785.912948298413539,"6096","6097",985.547671480973349,"35"
"6097",239147.671399999991991,8526259.669999999925494,"16",343.484985400000028,4.580629887790026,"9",41785.912948298413539,"6096","6097",985.547671480973349,"36"
"6097",239147.671399999991991,8526259.669999999925494,"16",343.484985400000028,4.580629887790026,"9",46932.445394552472862,"6097","6098",985.545462064597245,"37"
