Unnamed_ 0,ID,X,Y,Population,Elevation,Weight,clusters,ID1,ID2,Weight_2,line_lengt,line_len_1,i
"378","379",187921.423700000013923,8449603.992999998852611,"7",446.315002400000026,7.102314922241081,"0","379","380","23250",986.204893918185689,,"1"
"379","380",187887.203100000013364,8450589.604000000283122,"0",459.082000699999980,7.043560381696934,"0","379","380","23250",986.204893918185689,,"2"
"379","380",187887.203100000013364,8450589.604000000283122,"0",459.082000699999980,7.043560381696934,"0","380","381","11577",986.199647118556186,,"3"
"380","381",187852.989700000005541,8451575.210000000894070,"0",464.996002200000021,4.347716063990362,"0","380","381","11577",986.199647118556186,,"4"
"2445","2446",169262.891100000008009,8519037.792000001296401,"0",433.018005399999993,1.000000000000000,"-1","2484","2446","4722",1416.776507217404742,,"5"
"2445","2446",169262.891100000008009,8519037.792000001296401,"0",433.018005399999993,1.000000000000000,"-1","2446","2486","9489",1414.971653024863144,,"6"
"2482","2483",170345.929800000012619,8517100.314999999478459,"0",431.050994899999978,3.405947617967712,"-1","2521","2483","30433",1416.765259326474279,,"7"
"2482","2483",170345.929800000012619,8517100.314999999478459,"0",431.050994899999978,3.405947617967712,"-1","2483","2484","7241",986.063400896968915,,"8"
"2483","2484",170312.160800000012387,8518085.800000000745058,"0",412.684997599999974,1.000000000000000,"-1","2483","2484","7241",986.063400896968915,,"9"
"2483","2484",170312.160800000012387,8518085.800000000745058,"0",412.684997599999974,1.000000000000000,"-1","2484","2446","4722",1416.776507217404742,,"10"
"2485","2486",170244.646100000012666,8520056.763000000268221,"0",427.161987300000021,3.024081274280924,"-1","2446","2486","9489",1414.971653024863144,,"11"
"2485","2486",170244.646100000012666,8520056.763000000268221,"0",427.161987300000021,3.024081274280924,"-1","2486","2525","10086",1016.055749772515583,,"12"
"2520","2521",171395.195199999987381,8516148.335000000894070,"0",504.139007600000014,9.466705788695410,"-1","2521","2483","30433",1416.765259326474279,,"13"
"2524","2525",171260.150200000003679,8520090.240000000223517,"1",430.555999799999995,2.932768372986084,"-1","2486","2525","10086",1016.055749772515583,,"14"
"2524","2525",171260.150200000003679,8520090.240000000223517,"1",430.555999799999995,2.932768372986084,"-1","2525","2564","12827",1016.047223665166825,,"15"
"2563","2564",172275.646000000007916,8520123.710000000894070,"0",511.601013200000011,4.618831954958099,"-1","2525","2564","12827",1016.047223665166825,,"16"
"2563","2564",172275.646000000007916,8520123.710000000894070,"0",511.601013200000011,4.618831954958099,"-1","2564","2604","13252",1414.932376168882001,,"17"
"2603","2604",173257.399399999994785,8521142.627999998629093,"2",480.303008999999975,1.000000000000000,"-1","2564","2604","13252",1414.932376168882001,,"18"
"2603","2604",173257.399399999994785,8521142.627999998629093,"2",480.303008999999975,1.000000000000000,"-1","2604","2644","24934",1414.920158631951608,,"19"
"2643","2644",174239.160100000008242,8522161.521999999880791,"0",649.700012200000174,9.499427505566929,"-1","2604","2644","24934",1414.920158631951608,,"20"
"2643","2644",174239.160100000008242,8522161.521999999880791,"0",649.700012200000174,9.499427505566929,"-1","2644","2684","40084",1414.907013172977031,,"21"
"2683","2684",175220.927800000004936,8523180.391000000759959,"0",880.822021500000005,7.278188019316139,"-1","2644","2684","40084",1414.907013172977031,,"22"
"2683","2684",175220.927800000004936,8523180.391000000759959,"0",880.822021500000005,7.278188019316139,"-1","2684","2724","34354",1414.894588152304095,,"23"
"2723","2724",176202.702500000013970,8524199.235999999567866,"0",955.349975599999993,7.271604026120245,"-1","2684","2724","34354",1414.894588152304095,,"24"
"2723","2724",176202.702500000013970,8524199.235999999567866,"0",955.349975599999993,7.271604026120245,"-1","2724","2764","35060",1414.881512781844549,,"25"
"2763","2764",177184.484300000010990,8525218.055999999865890,"0",720.395019499999989,7.396791280341096,"7","2724","2764","35060",1414.881512781844549,,"26"
"2763","2764",177184.484300000010990,8525218.055999999865890,"0",720.395019499999989,7.396791280341096,"7","2764","2803","36665",1295.629216571172947,,"27"
"2802","2803",178081.329300000012154,8526153.108999999240041,"2",579.442016599999988,9.485053631394404,"7","2764","2803","36665",1295.629216571172947,,"28"
"3900","3901",203309.558699999994133,8504375.696000000461936,"0",943.793029799999999,7.169467362264847,"8","3902","3901","23409",,985.858688523913315,"29"
"3900","3901",203309.558699999994133,8504375.696000000461936,"0",943.793029799999999,7.169467362264847,"8","3901","3953","33666",,1416.444783194858701,"30"
"3901","3902",203275.814000000013039,8505360.976999999955297,"0",932.007995599999958,7.077862770061301,"8","3903","3902","23522",,985.855447283963940,"31"
"3901","3902",203275.814000000013039,8505360.976999999955297,"0",932.007995599999958,7.077862770061301,"8","3902","3901","23409",,985.858688523913315,"32"
"3902","3903",203242.076399999990826,8506346.255000000819564,"0",850.567993200000046,7.190698801018740,"8","3904","3903","23755",,985.852216354308894,"33"
"3902","3903",203242.076399999990826,8506346.255000000819564,"0",850.567993200000046,7.190698801018740,"8","3903","3902","23522",,985.855447283963940,"34"
"3903","3904",203208.345600000000559,8507331.529999999329448,"0",824.593017600000053,7.263698722540250,"8","3905","3904","11951",,985.847975798400057,"35"
"3903","3904",203208.345600000000559,8507331.529999999329448,"0",824.593017600000053,7.263698722540250,"8","3904","3903","23755",,985.852216354308894,"36"
"3904","3905",203174.621899999998277,8508316.801000000908971,"0",875.435974100000180,9.325346411523102,"8","3905","3904","11951",,985.847975798400057,"37"
"3950","3951",204426.010700000013458,8501453.267999999225140,"0",855.520996100000275,7.098639484804652,"2","3952","3951","23496",,985.861259114222094,"38"
