Unnamed_ 0,ID,X,Y,Population,Elevation,Weight,clusters,ID1,ID2,Weight_2,id_2,line_lengt,i
"87","88",195197.624299999995856,8444913.533999999985099,"0",504.729003900000009,5.995234621508643,"0","88","89",46204.000000000000000,,986.173811958843999,"1"
"88","89",195163.406599999987520,8445899.114000000059605,"33",479.463012699999979,3.372127454025009,"0","88","89",46204.000000000000000,,986.173811958843999,"2"
"88","89",195163.406599999987520,8445899.114000000059605,"33",479.463012699999979,3.372127454025009,"0","89","90",21578.000000000000000,,986.169564570466491,"3"
"89","90",195129.196100000001024,8446884.689999999478459,"0",522.658019999999965,1.000000000000000,"0","89","90",21578.000000000000000,,986.169564570466491,"4"
"89","90",195129.196100000001024,8446884.689999999478459,"0",522.658019999999965,1.000000000000000,"0","90","514",41624.000000000000000,,1416.502212720769421,"5"
"281","282",184773.541399999987334,8452459.023000000044703,"2",428.933990500000050,6.226494851612074,"0","309","282",63179.000000000000000,,1416.593323741368522,"6"
"308","309",185822.846799999999348,8451507.343000000342727,"0",463.359985399999857,2.690849425085057,"0","344","309",32219.000000000000000,,1015.642449210850373,"7"
"308","309",185822.846799999999348,8451507.343000000342727,"0",463.359985399999857,2.690849425085057,"0","309","282",63179.000000000000000,,1416.593323741368522,"8"
"343","344",186837.922099999996135,8451541.279999999329448,"0",474.799987800000054,3.653382974550681,"0","381","344",40632.000000000000000,,1015.634519632867409,"9"
"343","344",186837.922099999996135,8451541.279999999329448,"0",474.799987800000054,3.653382974550681,"0","344","309",32219.000000000000000,,1015.642449210850373,"10"
"380","381",187852.989700000005541,8451575.210000000894070,"0",464.996002200000021,4.347716063990362,"0","418","381",40954.000000000000000,,1015.626656643085880,"11"
"380","381",187852.989700000005541,8451575.210000000894070,"0",464.996002200000021,4.347716063990362,"0","381","344",40632.000000000000000,,1015.634519632867409,"12"
"417","418",188868.049700000003213,8451609.132000001147389,"0",467.467010500000129,3.717203487353371,"0","437","418",52159.000000000000000,,1416.553753940566821,"13"
"417","418",188868.049700000003213,8451609.132000001147389,"0",467.467010500000129,3.717203487353371,"0","418","381",40954.000000000000000,,1015.626656643085880,"14"
"436","437",189917.304399999993620,8450657.455000000074506,"0",468.204009999999982,3.647073301434595,"0","456","437",46788.000000000000000,,1416.543294386726529,"15"
"436","437",189917.304399999993620,8450657.455000000074506,"0",468.204009999999982,3.647073301434595,"0","437","418",52159.000000000000000,,1416.553753940566821,"16"
"455","456",190966.547699999995530,8449705.780999999493361,"0",450.201995800000134,2.958397654524149,"0","475","456",44641.000000000000000,,1416.532834853752547,"17"
"455","456",190966.547699999995530,8449705.780999999493361,"0",450.201995800000134,2.958397654524149,"0","456","437",46788.000000000000000,,1416.543294386726529,"18"
"474","475",192015.779600000008941,8448754.109999999403954,"0",481.520996099999991,3.342953818428252,"0","495","475",30076.000000000000000,,1015.579515630178435,"19"
"474","475",192015.779600000008941,8448754.109999999403954,"0",481.520996099999991,3.342953818428252,"0","475","456",44641.000000000000000,,1416.532834853752547,"20"
"494","495",193030.792699999990873,8448788.024000000208616,"0",491.923004199999866,2.579788738568118,"0","514","495",52805.000000000000000,,1416.513344015980465,"21"
"494","495",193030.792699999990873,8448788.024000000208616,"0",491.923004199999866,2.579788738568118,"0","495","475",30076.000000000000000,,1015.579515630178435,"22"
"513","514",194080.000100000004750,8447836.355000000447035,"0",493.713989299999980,4.875914491796007,"0","90","514",41624.000000000000000,,1416.502212720769421,"23"
"513","514",194080.000100000004750,8447836.355000000447035,"0",493.713989299999980,4.875914491796007,"0","514","495",52805.000000000000000,,1416.513344015980465,"24"
"3681","3682",199113.728499999997439,8508183.212999999523163,"0",893.864013699999987,6.056271229268114,"8","3740","3682",54590.000000000000000,,1015.783991623814472,"25"
"3739","3740",200128.962999999988824,8508216.619999999180436,"0",751.827026399999795,4.588564977587410,"8","3797","3740",60054.000000000000000,,1414.588853022060448,"26"
"3739","3740",200128.962999999988824,8508216.619999999180436,"0",751.827026399999795,4.588564977587410,"8","3740","3682",54590.000000000000000,,1015.783991623814472,"27"
"3796","3797",201110.465200000006007,8509235.302999999374151,"6",809.370971700000041,3.895093161946463,"8","3852","3797",44988.000000000000000,,1015.772539897934848,"28"
"3796","3797",201110.465200000006007,8509235.302999999374151,"6",809.370971700000041,3.895093161946463,"8","3797","3740",60054.000000000000000,,1414.588853022060448,"29"
"3851","3852",202125.688900000008289,8509268.689999999478459,"6",785.221008299999994,4.960384272634358,"8","3905","3852",101380.000000000000000,,1416.457943889353828,"30"
"3851","3852",202125.688900000008289,8509268.689999999478459,"6",785.221008299999994,4.960384272634358,"8","3852","3797",44988.000000000000000,,1015.772539897934848,"31"
"3904","3905",203174.621899999998277,8508316.801000000908971,"0",875.435974100000180,9.325346411523102,"8","3905","3852",101380.000000000000000,,1416.457943889353828,"32"
"4035","4036",207031.198899999988498,8484770.050000000745058,"7",667.960998500000187,9.283745687567114,"2","4036","4085",93517.435869351014844,0.000000000000000,1015.632794107203722,"33"
"4047","4048",206625.209800000011455,8496593.722999999299645,"2",887.612976099999969,7.103533555626403,"2","4048","4096",101107.495135719640530,0.000000000000000,1416.411561830412211,"34"
"4084","4085",208046.277899999986403,8484803.585000000894070,"14",634.877990700000055,9.122092021030678,"2","4036","4085",93517.435869351014844,0.000000000000000,1015.632794107203722,"35"
"4084","4085",208046.277899999986403,8484803.585000000894070,"14",634.877990700000055,9.122092021030678,"2","4085","4133",94029.069027548219310,0.000000000000000,1015.625433857656049,"36"
"4095","4096",207674.132799999992130,8495641.892000000923872,"19",916.202026400000022,7.170129351016529,"2","4048","4096",101107.495135719640530,0.000000000000000,1416.411561830412211,"37"
"4095","4096",207674.132799999992130,8495641.892000000923872,"19",916.202026400000022,7.170129351016529,"2","4096","4143",57865.930328225476842,0.000000000000000,1416.402880886332696,"38"
"4132","4133",209061.349799999996321,8484837.111999999731779,"0",770.560974100000180,9.231334263926444,"2","4085","4133",94029.069027548219310,0.000000000000000,1015.625433857656049,"39"
"4132","4133",209061.349799999996321,8484837.111999999731779,"0",770.560974100000180,9.231334263926444,"2","4133","4180",98774.498267651564674,0.000000000000000,1015.618039731032923,"40"
"4142","4143",208723.046800000010990,8494690.063999999314547,"16",934.742004400000042,1.000000000000000,"2","4096","4143",57865.930328225476842,0.000000000000000,1416.402880886332696,"41"
"4142","4143",208723.046800000010990,8494690.063999999314547,"16",934.742004400000042,1.000000000000000,"2","4143","4189",48262.942101375600032,0.000000000000000,1416.392781883244197,"42"
"4179","4180",210076.414500000013504,8484870.632999999448657,"0",944.148986799999989,9.941740012058313,"2","4133","4180",98774.498267651564674,0.000000000000000,1015.618039731032923,"43"
"4179","4180",210076.414500000013504,8484870.632999999448657,"0",944.148986799999989,9.941740012058313,"2","4180","4225",103324.055995309856371,0.000000000000000,1015.610812528731230,"44"
"4188","4189",209771.951700000005076,8493738.241000000387430,"0",1078.319946000000073,5.780163196609738,"2","4143","4189",48262.942101375600032,0.000000000000000,1416.392781883244197,"45"
