id1,id2,distance
N1,N2,629.1030463068292
N1,N3,1860.3547652101042
N1,N4,1055.2654079465
N1,N5,1874.9405943518248
N1,N6,1764.9229478394705
N1,N7,2727.5906717365524
N1,N8,3053.0082966368122
N1,N9,4421.346668882564
N1,N10,4037.578017755559
N1,N11,5363.677941523601
N1,N12,6929.075280586504
N1,N13,5669.173660776734
N1,N14,6482.500786060514
N1,N15,7502.332990175279
N1,N16,7363.157742228973
N1,N17,7929.160035293002
N1,N18,8442.01696487524
N1,N19,9901.300773496296
N1,N20,9812.0458885175
N1,N21,9475.310830265376
N2,N3,2251.143368716334
N2,N4,1073.3948024553288
N2,N5,1883.2608302037663
N2,N6,1307.1319287895801
N2,N7,2417.341903505648
N2,N8,2929.616915527402
N2,N9,4232.560317397442
N10,N2,4031.1948848006955
N11,N2,5228.017513582225
N12,N2,7074.9123143685365
N13,N2,5698.160494547731
N14,N2,6398.484815078298
N15,N2,7331.278274361189
N16,N2,7388.535776836139
N17,N2,8104.909080501789
N18,N2,8418.67757773779
N2,N20,9719.101499376118
N2,N21,9483.061078687086
N3,N4,1372.858438232372
N3,N5,1278.9312249508275
N3,N6,2459.535437670037
N3,N7,2622.206207456244
N3,N8,2286.6511630844593
N3,N9,3606.4434253713316
N10,N3,2764.257344599819
N11,N3,4312.421852837299
N12,N3,5223.814054521404
N13,N3,4201.358950905341
N14,N3,5238.860399880561
N15,N3,6444.1902426102015
N16,N3,5853.615599437895
N17,N3,6175.359386942207
N18,N3,7009.29412314871
N19,N3,8215.548132988515
N20,N3,8507.790336382954
N21,N3,7966.14085653759
N22,N3,9845.463278968044
N23,N3,9183.974082073473
N4,N5,836.0799860529298
N4,N6,1148.5175258848533
N4,N7,1771.8861852595346
N4,N8,1998.3438203351047
N4,N9,3373.1483949070066
N10,N4,3006.3864186634123
N11,N4,4308.417127054987
N12,N4,6003.098967261162
N13,N4,4658.305784209807
N14,N4,5432.351876061475
N15,N4,6448.234105947625
N16,N4,6352.381556472424
N17,N4,7031.543118181733
N18,N4,7410.27519733995
N19,N4,8948.578123423229
N20,N4,8761.811900936087
N21,N4,8457.320208759778
N23,N4,9679.989542925556
N5,N6,1407.0797757650394
N5,N7,1345.0041013594825
N5,N8,1227.6889679276671
N5,N9,2622.538792706367
N10,N5,2170.4710269222055
N11,N5,3509.3645267199995
N12,N5,5203.509597361228
N13,N5,3823.858050323821
N14,N5,4608.527287491789
N15,N5,5659.558272291308
N16,N5,5517.456305615283
N17,N5,6245.400710716952
N18,N5,6574.926612820842
N19,N5,8131.562817290253
N20,N5,7937.825958677936
N21,N5,7621.3765369159755
N22,N5,9831.755428432894
N23,N5,8843.96449038292
N6,N7,1199.3781013131809
N6,N8,1959.0493386041335
N6,N9,3090.6524901725115
N10,N6,3178.605872399961
N11,N6,4130.946777200838
N12,N6,6390.757460920583
N13,N6,4838.5427163541835
N14,N6,5350.14447478544
N15,N6,6165.587313561928
N16,N6,6488.136473756724
N17,N6,7459.00463492383
N18,N6,7431.161251295439
N19,N6,9227.930818727784
N20,N6,8628.274043174795
N21,N6,8531.79028486303
N23,N6,9737.661990975765
N7,N8,974.2876643640393
N7,N9,1895.7503102917105
N10,N7,2179.4845889438066
N11,N7,2943.751892428632
N12,N7,5419.329548969016
N13,N7,3772.27546640569
N14,N7,4174.127932649288
N15,N7,4966.512199896134
N16,N7,5375.270884944824
N17,N7,6499.083686324557
N18,N7,6270.864282928608
N19,N7,8162.08695056472
N20,N7,7434.340880144991
N21,N7,7383.2985161951165
N22,N7,9898.923488969795
N23,N7,8580.149150535926
N26,N7,9994.336507601723
N8,N9,1394.9140076442277
N10,N8,1232.3914309453576
N11,N8,2312.822963046056
N12,N8,4471.661518233928
N13,N8,2879.846252017656
N14,N8,3469.0266304912343
N15,N8,4450.007731682212
N16,N8,4533.267405479977
