PS,X,Y,id,longitude,latitude,nearest_zi,w,layer,path
"0",244186.7061,8138058.67,"31",36.599499999999999,-16.826750000000001,"9051","444",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",243737.9883,8135656.945,"32",36.595019999999998,-16.848389999999998,"10340","340",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",245065.1227,8137127.085,"33",36.607630000000000,-16.835260000000002,"9634","468",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",245900.2415,8137714.061,"34",36.615530000000000,-16.830050000000000,"9252","360",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",246621.1861,8137658.286,"35",36.622290000000000,-16.830629999999999,"9311","272",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",247583.6859,8137475.606,"36",36.631290000000000,-16.832390000000000,"9481","288",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",242890.7797,8134080.251,"37",36.586889999999997,-16.862539999999999,"11119","736",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",247754.7626,8130541.879,"38",36.632120000000000,-16.895029999999998,"12388","588",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",247916.9089,8126511.662,"39",36.633180000000003,-16.931450000000002,"13067","420",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",247644.5388,8128567.666,"40",36.630859999999998,-16.912849999999999,"12806","304",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",247911.1947,8132528.474,"41",36.633809999999997,-16.877099999999999,"11662","344",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",248892.7081,8134135.206,"42",36.643189999999997,-16.862700000000000,"11083","360",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",248253.5542,8136602.239,"43",36.637479999999996,-16.840350000000001,"9884","340",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",249007.986,8135680.906,"44",36.644449999999999,-16.848749999999999,"10372","700",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",249674.6934,8136578.829,"45",36.650799999999997,-16.840710000000001,"9856","156",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",249933.2449,8135651.996,"46",36.653120000000001,-16.849110000000000,"10433","336",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",250824.8806,8136321.458,"47",36.661560000000001,-16.843160000000001,"10040","304",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",250612.6165,8135654.306,"48",36.659500000000001,-16.849160000000001,"10438","404",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",251418.9903,8137293.957,"49",36.667240000000000,-16.834440000000001,"9593","360",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",251255.8233,8135227.218,"50",36.665480000000002,-16.853090000000002,"10675","144",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",252140.9376,8134896.119,"51",36.673749999999998,-16.856169999999999,"10830","180",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",252705.7447,8134062.417,"52",36.678950000000000,-16.863759999999999,"11133","196",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",253005.8463,8132854.837,"53",36.681629999999998,-16.874700000000001,"11568","44",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
"0",253556.7483,8134313.73,"54",36.686959999999999,-16.861580000000000,"14268","8",namanjavira,C:\Users\Asus\Desktop\POLIMI\Thesis\GISELE\New folder\namanjavira.shp|layername=namanjavira
