,Unnamed_ 0,id,X,Y,Population,Elevation,Weight,clusters
6,1304,7,842695.1942,8509561.348,1,591.6019897000001,3.063461082,3
13,1355,14,843711.2920000001,8509569.997999998,4,768.3099975999999,5.162921675,3
44,1507,45,846769.3191999998,8508609.731,12,931.934021,4.2964190585000015,3
55,1557,56,847795.1178,8507632.152999999,43,858.5410155999998,2.8096617855,3
56,1558,57,847785.4492,8508618.35,115,919.6569824,1.5802841075,3
57,1559,58,847775.7720000001,8509604.542000003,7,923.0200195,1.8955605075,3
69,1609,70,848801.5881,8508626.963,2,834.8980103,1.0,3
81,1660,82,849817.7360999999,8508635.571999999,10,864.1019897,2.249509965,3
92,1711,93,850833.8931,8508644.174,6,809.3709717,2.813790353,3
102,1761,103,851859.7142,8507666.54,2,841.9329834,6.0,3
103,1762,104,851850.0590999997,8508652.770999998,6,785.2210083,3.920403655,3
104,1763,105,851840.3952,8509638.999,4,782.6900024,2.4480592605,3
106,1765,107,851821.0416999998,8511611.443,4,825.8099975999999,6.0,3
107,1766,108,851811.3520000002,8512597.66,5,847.4140015,6.0,3
112,1814,113,852866.2341,8508661.363000002,3,819.0479736000002,2.4353780135,3
115,1817,116,852837.2267999998,8511620.061,5,911.0469971000001,6.0,3
118,1864,119,853901.7062,8506697.448999997,1,919.8499756000001,6.0,3
120,1866,121,853882.4183,8508669.948999997,10,817.5499877999998,5.1710811445,3
127,1918,128,854898.6115,8508678.53,7,847.6510009999998,6.0,3
