Unnamed_ 0,ID,X,Y,Population,Elevation,Weight,clusters,M
"12","13",190156.924300000013318,8443758.195000000298023,"0",467.510986300000013,9.066615856297341,"0","0"
"13","14",190122.671000000002095,8444743.816999999806285,"0",493.140014600000143,9.061356074687684,"0","0"
"14","15",190088.425099999993108,8445729.434000000357628,"4",501.243988000000002,7.048254938109339,"0","0"
"15","16",190054.186400000005960,8446715.047000000253320,"0",492.604003900000009,7.024522142757683,"0","0"
"26","27",191240.441099999996368,8441820.918999999761581,"0",499.183990500000050,7.070014980008796,"0","0"
"27","28",191206.179100000008475,8442806.542999999597669,"0",501.118011500000023,7.087918158895263,"0","0"
"28","29",191171.924300000013318,8443792.161000000312924,"0",485.076995800000134,9.090787589942018,"0","0"
"29","30",191137.676700000010896,8444777.776000000536442,"0",480.220001200000013,8.148058164580661,"0","0"
"30","31",191103.436400000005960,8445763.385999999940395,"0",488.178985599999976,6.140227264831800,"0","0"
"31","32",191069.203399999998510,8446748.991000000387430,"0",480.183013899999935,7.112081870568950,"0","0"
"42","43",192255.422099999996135,8441854.892999999225140,"0",537.739013699999987,7.137136780924394,"0","0"
"43","44",192221.165899999992689,8442840.508999999612570,"0",504.920990000000018,7.099732826644725,"0","0"
"44","45",192186.916700000001583,8443826.119999999180436,"0",474.989990200000022,8.928585383596698,"0","0"
"45","46",192152.674900000012713,8444811.726999999955297,"0",490.170013400000016,4.630997416586198,"0","0"
"46","47",192118.440200000011828,8445797.330000000074506,"0",493.441986100000065,1.000000000000000,"0","0"
"47","48",192084.212800000008428,8446782.927999999374151,"0",471.545013400000016,3.358736965588951,"0","0"
"56","57",193304.653400000010151,8440903.245999999344349,"0",604.416015600000037,7.393874908667514,"0","0"
"57","58",193270.395699999993667,8441888.858999999240041,"0",520.401000999999951,7.154473164628688,"0","0"
"58","59",193236.145099999994272,8442874.467000000178814,"1",492.105011000000104,9.078255860644706,"0","0"
"59","60",193201.901699999987613,8443860.071000000461936,"0",511.582000699999980,3.934920493451061,"0","0"
"60","61",193167.665500000002794,8444845.671000000089407,"0",506.218994099999975,4.091430834025947,"0","0"
"61","62",193133.436500000010710,8445831.266000000759959,"0",479.886993399999994,6.818473267096595,"0","0"
"62","63",193099.214700000011362,8446816.856000000610948,"0",483.677002000000016,3.318859027275224,"0","0"
"70","71",194319.613699999987148,8440937.211000001057982,"3",509.907989499999871,4.733605458484710,"0","0"
"71","72",194285.361700000008568,8441922.816999999806285,"0",496.600006100000144,4.220007949422075,"0","0"
"72","73",194251.116899999993620,8442908.417999999597669,"0",508.053985599999976,4.613003837773809,"0","0"
"73","74",194216.879199999995762,8443894.014000000432134,"0",512.377990699999827,2.614401516192857,"0","0"
"74","75",194182.648599999985890,8444879.606000000610948,"0",492.334014900000000,7.068396299430153,"0","0"
"75","76",194148.425300000002608,8445865.194000000134110,"0",475.217010500000129,7.021393144491768,"0","0"
"76","77",194114.209100000007311,8446850.777000000700355,"0",506.279998799999987,3.321869078511748,"0","0"
"82","83",195368.819900000002235,8439985.565999999642372,"0",644.916992199999981,7.261185461999379,"0","0"
"83","84",195334.566499999986263,8440971.168999999761581,"0",620.546020500000054,6.557562040746404,"0","0"
"84","85",195300.320199999987381,8441956.767000000923872,"0",538.668029799999999,3.311212717545194,"0","0"
"85","86",195266.081100000010338,8442942.360999999567866,"0",533.502014199999962,4.039376996941864,"0","0"
"86","87",195231.849099999992177,8443927.949999999254942,"0",510.835998500000017,5.531014298241273,"0","0"
"87","88",195197.624299999995856,8444913.533999999985099,"0",504.729003900000009,5.995234621508643,"0","0"
"88","89",195163.406599999987520,8445899.114000000059605,"33",479.463012699999979,3.372127454025009,"0","0"
"89","90",195129.196100000001024,8446884.689999999478459,"0",522.658019999999965,1.000000000000000,"0","0"
"95","96",196383.759499999985565,8440019.523000000044703,"0",796.590026899999884,7.477141349113015,"0","0"
"96","97",196349.511900000012247,8441005.118999999016523,"0",624.991027799999983,7.235515310527290,"0","0"
"97","98",196315.271299999993062,8441990.708999998867512,"0",602.677001999999902,9.481492633383867,"0","0"
"98","99",196281.037899999995716,8442976.296000000089407,"0",539.999023400000056,9.067861330871576,"0","0"
"99","100",196246.811699999991106,8443961.877000000327826,"0",507.121002200000021,7.013863047653162,"0","0"
"100","101",196212.592499999998836,8444947.453999999910593,"8",495.118988000000002,4.733403954683642,"0","0"
"101","102",196178.380499999999302,8445933.027000000700355,"11",501.829009999999982,3.134357975675244,"0","0"
"102","103",196144.175599999987753,8446918.595000000670552,"0",536.155029300000024,8.633796575103290,"0","0"
"109","110",197364.449800000002142,8441039.060000000521541,"0",853.723999000000049,7.746873446016989,"0","0"
"110","111",197330.214999999996508,8442024.643999999389052,"0",591.119018600000118,9.310658959968816,"0","0"
"111","112",197295.987400000012713,8443010.222000000998378,"0",534.979980500000011,9.109910163487454,"0","0"
"112","113",197261.766800000012154,8443995.797000000253320,"0",511.220001200000013,7.092803212406019,"0","0"
"113","114",197227.553299999999581,8444981.366000000387430,"0",496.589996300000053,5.474748289024148,"0","0"
"114","115",197193.346900000004098,8445966.932000000029802,"0",508.721008300000051,1.000000000000000,"0","0"
"115","116",197159.147599999996601,8446952.492000000551343,"0",533.656982399999947,8.601285078359282,"0","0"
"120","121",198379.380399999994552,8441072.993999999016523,"0",954.737976099999969,7.295112826131617,"0","0"
"121","122",198345.151400000002468,8442058.570000000298023,"0",833.776000999999951,7.603871313988793,"0","0"
"122","123",198310.929399999993620,8443044.142000000923872,"0",608.474975599999993,7.264808154461858,"0","0"
"123","124",198276.714600000006612,8444029.707999998703599,"0",515.085998500000187,7.034598682047982,"0","0"
"124","125",198242.506699999998091,8445015.270999999716878,"0",528.356018100000028,7.075327500093676,"0","0"
"125","126",198208.306000000011409,8446000.828999999910593,"0",511.618988000000002,4.418430982795950,"0","0"
"126","127",198174.112300000007963,8446986.382000001147389,"0",548.432006799999954,4.273303927044663,"0","0"
"131","132",199360.080400000006193,8442092.489000000059605,"0",814.557006799999954,7.410506240045421,"0","0"
"132","133",199325.864200000010896,8443078.052999999374151,"0",691.234985399999800,7.715713718382647,"0","0"
"133","134",199291.654899999994086,8444063.611999999731779,"0",543.851013200000011,7.127266828208294,"0","0"
"134","135",199257.452799999999115,8445049.167000001296401,"0",544.015991200000030,7.042870221979811,"0","0"
"135","136",199223.257699999987381,8446034.718000000342727,"0",515.976013200000011,6.635049152018093,"0","0"
"136","137",199189.069599999987986,8447020.264000000432134,"0",558.083984399999963,6.652153573681837,"0","0"
"142","143",200306.587999999988824,8444097.507999999448657,"0",600.252990700000055,9.327816194245909,"0","0"
"143","144",200272.391499999997905,8445083.055999999865890,"0",548.833007800000019,9.095964197412213,"0","0"
"144","145",200238.201999999990221,8446068.598999999463558,"0",534.107971200000179,7.020234432552535,"0","0"
"145","146",200204.019599999999627,8447054.138000000268221,"0",569.280029299999796,7.031273095799921,"0","0"
"152","153",201253.139100000000326,8446102.472999999299645,"0",556.286987299999964,7.113382684029377,"0","0"
"153","154",201218.962200000009034,8447088.004000000655651,"0",562.008972200000017,9.054191605682119,"0","0"
"257","258",183963.924599999998463,8446511.219000000506639,"3",439.712005599999998,7.088405908057108,"0","0"
"258","259",183792.673199999990175,8451439.446000000461936,"56",426.502014200000019,1.000000000000000,"0","0"
"259","260",183724.224599999986822,8453410.707000000402331,"2",417.425994899999978,9.037570215955226,"0","0"
"260","261",183690.011499999993248,8454396.331000000238419,"0",455.819000200000005,7.045226357321019,"0","0"
"261","262",183655.805800000001909,8455381.949999999254942,"0",432.303985599999976,7.047300705868603,"0","0"
"262","263",183621.607500000012806,8456367.565999999642372,"0",436.876007099999981,7.045900307148376,"0","0"
"263","264",183587.416700000001583,8457353.177000001072884,"6",450.354003900000009,7.052699520390638,"0","0"
"276","277",185013.254300000000512,8445559.559000000357628,"0",437.458007800000019,9.065355328544911,"0","0"
"277","278",184978.987300000007963,8446545.210000000894070,"0",454.553985599999976,9.039648873876443,"0","0"
"278","279",184944.727799999993294,8447530.856000000610948,"2",447.516998300000012,7.036676784941768,"0","0"
"279","280",184841.993699999991804,8450487.769999999552965,"10",432.549011199999995,7.092338343778584,"0","0"
"280","281",184807.763799999986077,8451473.399000000208616,"1",436.341003399999977,2.608706768338791,"0","0"
"281","282",184773.541399999987334,8452459.023000000044703,"2",428.933990500000050,6.226494851612074,"0","0"
"282","283",184739.326299999986077,8453444.643999999389052,"0",437.002990699999998,7.135912327272017,"0","0"
"283","284",184705.118599999987055,8454430.259999999776483,"0",461.191009500000007,9.074119628022007,"0","0"
"284","285",184670.918299999990268,8455415.872000001370907,"0",458.789001499999983,7.080792436178127,"0","0"
"285","286",184636.725500000000466,8456401.480000000447035,"0",450.268005399999993,7.034000243296558,"0","0"
"303","304",185994.042400000005728,8446579.192999999970198,"0",473.135009799999978,9.085182183206703,"0","0"
"304","305",185959.788599999999860,8447564.832000000402331,"0",444.531005900000025,9.027281875409349,"0","0"
"305","306",185925.542099999991478,8448550.466000000014901,"5",446.165008499999999,9.079823068766368,"0","0"
"306","307",185891.302900000009686,8449536.096000000834465,"1",435.605987500000026,9.047757631058264,"0","0"
"307","308",185857.071200000005774,8450521.722000000998378,"0",451.273010300000010,6.015973595570864,"0","0"
"308","309",185822.846799999999348,8451507.343000000342727,"0",463.359985399999857,2.690849425085057,"0","0"
"309","310",185788.629799999995157,8452492.960000000894070,"0",459.190002400000026,7.021953038906948,"0","0"
"310","311",185754.420199999993201,8453478.572999998927116,"0",475.553985599999976,7.017458229456166,"0","0"
"311","312",185720.217999999993481,8454464.182000000029802,"0",447.691986100000065,9.046569534441355,"0","0"
"312","313",185686.023099999991246,8455449.786000000312924,"0",463.606994600000064,7.037473843297232,"0","0"
"313","314",185651.835699999995995,8456435.385999999940395,"0",463.579986599999984,7.070200313598951,"0","0"
"336","337",187077.608500000002095,8444641.892000000923872,"0",444.765991199999974,7.024883279164786,"0","0"
"337","338",187043.345499999995809,8445627.531999999657273,"2",449.309997599999974,7.060268542637459,"0","0"
"338","339",187009.089899999991758,8446613.167999999597669,"0",461.510986300000013,7.136937013349416,"0","0"
"339","340",186974.841600000014296,8447598.799000000581145,"0",487.188995400000010,9.031513240834908,"0","0"
"340","341",186940.600799999985611,8448584.426000000908971,"0",481.756988499999977,7.014899097409789,"0","0"
"341","342",186906.367200000007870,8449570.049000000581145,"2",429.802002000000016,7.025916637041949,"0","0"
"342","343",186872.141000000003260,8450555.667000001296401,"0",440.290985100000000,7.058916038716621,"0","0"
"343","344",186837.922099999996135,8451541.279999999329448,"0",474.799987800000054,3.653382974550681,"0","0"
"344","345",186803.710599999991246,8452526.890000000596046,"0",489.368011500000023,4.869490965603231,"0","0"
"345","346",186769.506400000012945,8453512.494999999180436,"0",469.031005900000025,7.034682249507640,"0","0"
"346","347",186735.309700000012526,8454498.096000000834465,"0",468.869995099999983,7.056527415851513,"0","0"
"347","348",186701.120300000009593,8455483.692999999970198,"0",480.792999300000020,7.063884013396293,"0","0"
"373","374",188092.636900000012247,8444675.875000000000000,"0",450.221984899999995,7.017334260087619,"0","0"
"374","375",188058.379699999990407,8445661.507000001147389,"0",476.652008100000103,7.032468536509763,"0","0"
"375","376",188024.129699999990407,8446647.134999999776483,"0",501.699005100000022,7.033607047932541,"0","0"
"376","377",187989.887099999992643,8447632.758999999612570,"0",488.712005599999998,7.133589037846923,"0","0"
"377","378",187955.651699999987613,8448618.377999998629093,"0",462.054992700000014,7.150076426494794,"0","0"
"378","379",187921.423700000013923,8449603.992999998852611,"7",446.315002400000026,7.102314922241081,"0","0"
"379","380",187887.203100000013364,8450589.604000000283122,"0",459.082000699999980,7.043560381696934,"0","0"
"380","381",187852.989700000005541,8451575.210000000894070,"0",464.996002200000021,4.347716063990362,"0","0"
"381","382",187818.783699999999953,8452560.812000000849366,"0",474.518005399999993,3.927143774546647,"0","0"
"382","383",187784.584999999991851,8453546.408999999985099,"0",468.984985399999857,7.044582501470761,"0","0"
"383","384",187750.393699999985984,8454532.002999998629093,"0",478.074005100000022,7.037143670210355,"0","0"
"384","385",187716.209700000006706,8455517.592000000178814,"0",457.053008999999975,7.037466868411903,"0","0"
"411","412",189073.406199999997625,8445695.474999999627471,"0",470.618988000000002,7.081580766106010,"0","0"
"412","413",189039.161900000006426,8446681.095000000670552,"0",493.488006600000062,9.091980424975313,"0","0"
"413","414",189004.924800000007963,8447666.711000001057982,"0",481.132995600000015,7.074552456425371,"0","0"
"414","415",188970.695100000011735,8448652.322999998927116,"0",463.221984899999995,9.119483037163569,"0","0"
"415","416",188936.472600000008242,8449637.929999999701977,"4",457.269012499999974,7.042131285134666,"0","0"
"416","417",188902.257500000006985,8450623.532999999821186,"0",443.592010500000129,7.047332053817277,"0","0"
"417","418",188868.049700000003213,8451609.132000001147389,"0",467.467010500000129,3.717203487353371,"0","0"
"418","419",188833.849199999996927,8452594.725999999791384,"0",476.040008499999999,4.948317256066654,"0","0"
"419","420",188799.655999999988126,8453580.315999999642372,"0",500.700988800000005,7.066285472433518,"0","0"
"433","434",190019.954999999987194,8447700.655999999493361,"0",470.149993899999856,7.062723661356207,"0","0"
"434","435",189985.730799999990268,8448686.259999999776483,"0",459.289001499999983,7.002510382158152,"0","0"
"435","436",189951.513999999995576,8449671.858999999240041,"0",455.966003399999977,5.049516883877422,"0","0"
"436","437",189917.304399999993620,8450657.455000000074506,"0",468.204009999999982,3.647073301434595,"0","0"
"437","438",189883.102099999989150,8451643.046000000089407,"0",481.424011199999995,4.707971462133322,"0","0"
"438","439",189848.907100000011269,8452628.632000001147389,"0",502.279998799999987,2.652814531954000,"0","0"
"453","454",191034.977600000012899,8447734.592000000178814,"0",456.929992700000014,6.476050362903925,"0","0"
