Unnamed_ 0,ID,X,Y,Population,Elevation,Weight,clusters,ID1,ID2,Weight_2,id_2,line_lengt,i
"14","15",190088.425099999993108,8445729.434000000357628,"4",501.243988000000002,7.048254938109339,"0","412","15",23925.270229618334270,"0",1015.586816101041450,"1"
"14","15",190088.425099999993108,8445729.434000000357628,"4",501.243988000000002,7.048254938109339,"0","15","31",22322.856946636624343,"0",1015.578986308641447,"2"
"30","31",191103.436400000005960,8445763.385999999940395,"0",488.178985599999976,6.140227264831800,"0","15","31",22322.856946636624343,"0",1015.578986308641447,"3"
"30","31",191103.436400000005960,8445763.385999999940395,"0",488.178985599999976,6.140227264831800,"0","31","47",12084.635930134803857,"0",1015.571223081109679,"4"
"46","47",192118.440200000011828,8445797.330000000074506,"0",493.441986100000065,1.000000000000000,"0","31","47",12084.635930134803857,"0",1015.571223081109679,"5"
"46","47",192118.440200000011828,8445797.330000000074506,"0",493.441986100000065,1.000000000000000,"0","47","63",10182.312448605045574,"0",1414.691444989805177,"6"
"58","59",193236.145099999994272,8442874.467000000178814,"1",492.105011000000104,9.078255860644706,"0","59","72",31392.166889423773682,"0",1416.507393632768526,"7"
"58","59",193236.145099999994272,8442874.467000000178814,"1",492.105011000000104,9.078255860644706,"0","59","74",27568.993201918812701,"0",1414.678571305980313,"8"
"62","63",193099.214700000011362,8446816.856000000610948,"0",483.677002000000016,3.318859027275224,"0","47","63",10182.312448605045574,"0",1414.691444989805177,"9"
"62","63",193099.214700000011362,8446816.856000000610948,"0",483.677002000000016,3.318859027275224,"0","63","514",7826.975321883218385,"0",1414.679543873386592,"10"
"70","71",194319.613699999987148,8440937.211000001057982,"3",509.907989499999871,4.733605458484710,"0","72","71",14716.638672924849743,"0",986.200986988722889,"11"
"71","72",194285.361700000008568,8441922.816999999806285,"0",496.600006100000144,4.220007949422075,"0","59","72",31392.166889423773682,"0",1416.507393632768526,"12"
"71","72",194285.361700000008568,8441922.816999999806285,"0",496.600006100000144,4.220007949422075,"0","72","71",14716.638672924849743,"0",986.200986988722889,"13"
"73","74",194216.879199999995762,8443894.014000000432134,"0",512.377990699999827,2.614401516192857,"0","59","74",27568.993201918812701,"0",1414.678571305980313,"14"
"73","74",194216.879199999995762,8443894.014000000432134,"0",512.377990699999827,2.614401516192857,"0","74","88",6166.009364160266159,"0",1414.666738696113725,"15"
"87","88",195197.624299999995856,8444913.533999999985099,"0",504.729003900000009,5.995234621508643,"0","74","88",6166.009364160266159,"0",1414.666738696113725,"16"
"87","88",195197.624299999995856,8444913.533999999985099,"0",504.729003900000009,5.995234621508643,"0","88","101",8012.811031088711388,"0",1015.534841062206397,"17"
