X,Y,Population,Elevation,Slope,Land_cover,River_flow,Road_dist,M,PS,Landcover,Riverflow,Cluster,Unnamed_ 0,Weight,clusters,layer,path,id
240866.875900000013644,8505607.707000000402331,"0",458.152008100000103,,,,,"0","0",,,,"6142",7.262575002579625,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"696"
240833.282500000001164,8506592.736999999731779,"0",457.751007099999981,,,,,"0","0",,,,"6143",7.214390710874174,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"697"
240799.695199999987381,8507577.764000000432134,"0",593.372985799999810,,,,,"0","0",,,,"6144",7.878603194792236,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"698"
240766.114000000001397,8508562.787999998778105,"0",716.494995099999983,,,,,"0","0",,,,"6145",7.398671208157777,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"699"
240732.538900000014110,8509547.809000000357628,"0",745.375000000000000,,,,,"0","0",,,,"6146",9.508233092466099,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"700"
240698.969799999991665,8510532.826999999582767,"0",525.525024400000007,,,,,"0","0",,,,"6147",9.493899511407347,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"701"
240665.406799999997020,8511517.842000000178814,"0",515.117980999999986,,,,,"0","0",,,,"6148",7.668998267748287,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"702"
240631.849900000001071,8512502.853000000119209,"0",547.934021000000030,,,,,"0","0",,,,"6149",7.407576871532138,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"703"
240598.299100000003818,8513487.861999999731779,"0",578.781982399999947,,,,,"0","0",,,,"6150",7.128994203881506,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"704"
240564.754400000005262,8514472.867999998852611,"0",572.333007800000019,,,,,"0","0",,,,"6151",7.144030345123729,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"705"
240531.215800000005402,8515457.872000001370907,"15",542.171997099999999,,,,,"0","0",,,,"6152",6.377155188459056,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"706"
240497.683300000004238,8516442.872000001370907,"0",665.361999500000024,,,,,"0","0",,,,"6153",5.924068588169438,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"707"
240464.156799999997020,8517427.868999999016523,"0",849.327026400000022,,,,,"0","0",,,,"6154",3.426056487295386,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"708"
240430.636499999993248,8518412.864000000059605,"0",725.750000000000000,,,,,"0","0",,,,"6155",3.756522384333870,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"709"
240397.122200000012526,8519397.856000000610948,"0",690.731994600000007,,,,,"0","0",,,,"6156",7.031995684384606,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"710"
240363.614100000006147,8520382.845000000670552,"0",733.179016100000013,,,,,"0","0",,,,"6157",9.262837919850774,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"711"
240330.111999999993714,8521367.831000000238419,"0",521.895019499999989,,,,,"0","0",,,,"6158",7.525431267838603,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"712"
240296.616100000013830,8522352.814999999478459,"10",383.600006099999973,,,,,"0","0",,,,"6159",7.040274303064155,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"713"
240263.126300000003539,8523337.796000000089407,"0",363.916992199999981,,,,,"0","0",,,,"6160",6.643941470919946,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"714"
240229.642499999987194,8524322.774000000208616,"16",353.092010500000015,,,,,"0","0",,,,"6161",4.749795324276861,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"715"
240196.164900000003399,8525307.748999999836087,"13",359.134002699999996,,,,,"0","0",,,,"6162",3.532174025567703,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"716"
240162.693300000013551,8526292.722000000998378,"0",346.316009500000007,,,,,"0","0",,,,"6163",3.623980420175037,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"717"
240129.227899999998044,8527277.692999999970198,"0",354.230987500000026,,,,,"0","0",,,,"6164",4.067166742066203,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"718"
240095.768600000010338,8528262.660000000149012,"0",353.526000999999951,,,,,"0","0",,,,"6165",7.056483170393581,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"719"
240062.315399999992223,8529247.626000000163913,"0",351.035003700000004,,,,,"0","0",,,,"6166",7.053786618439634,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"720"
240028.868400000006659,8530232.587999999523163,"0",346.944000200000005,,,,,"0","0",,,,"6167",7.077475831953926,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"721"
239995.427399999985937,8531217.549000000581145,"0",352.808013899999992,,,,,"0","0",,,,"6168",7.019435037262893,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"722"
239986.661400000011781,8532164.018999999389052,"11",350.432006800000011,,,,,"0","0",,,,"6169",7.051274672435022,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"723"
242083.474599999986822,8499730.677999999374151,"0",783.973999000000049,,,,,"0","0",,,,"6203",7.465674172112952,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"724"
242049.848999999987427,8500715.721000000834465,"0",563.247985799999810,,,,,"0","0",,,,"6204",9.334709424060133,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"725"
