ID,X,Y,Population,Elevation,Slope,Land_cover,River_flow,Road_dist,M,PS,Unnamed_ 0,Weight,clusters,layer,path
"5497",231087.554399999993620,8494439.326999999582767,"0",1191.319946000000073,1.167715405000000,"1",,1147.628107000000000,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5498",231053.850999999995111,8495424.457000000402331,"0",1208.760009999999966,8.408210863000001,"1",,1228.100746000000072,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5499",231020.153900000004796,8496409.583000000566244,"0",1183.050048999999944,23.711378950000000,"1",,1466.452121999999918,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5500",230986.463099999993574,8497394.706000000238419,"0",1181.959961000000021,15.421666500000001,"1",,1325.164205999999922,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5501",230952.778599999990547,8498379.825999999418855,"0",1167.270019999999931,32.094133380000002,"1",,1194.603166999999985,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5502",230919.100399999995716,8499364.942999999970198,"0",1078.250000000000000,16.917213289999999,"1",,664.310661099999948,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5558",232136.213900000002468,8493487.514000000432134,"0",1094.949951000000056,2.768326976000000,"1",,102.896699900000002,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5559",232102.508600000001024,8494472.640000000596046,"0",1075.099975999999970,5.084374487000000,"1",,196.916382400000003,"0","1",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5560",232068.809500000003027,8495457.763000000268221,"0",1076.319946000000073,4.020613458000000,"1",,341.537693800000000,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5561",232035.116700000013225,8496442.882999999448657,"20",1061.890014999999948,4.799917697000000,"1",,521.151111000000014,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5562",232001.430200000002515,8497428.000000000000000,"45",1049.640014999999948,3.775679876000000,"1",,316.874569099999974,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5563",231967.750000000000000,8498413.112999999895692,"4",1043.140014999999948,3.222094976000000,"1",,546.453123000000005,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5564",231934.076100000005681,8499398.222999999299645,"0",1081.810058999999910,25.469750460000000,"1",,162.984685799999994,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5565",231900.408399999985704,8500383.330000000074506,"0",1190.349975999999970,9.482029946000001,"1",,554.807356700000014,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5566",231866.747100000007777,8501368.433000000193715,"0",1175.569946000000073,12.224960530000001,"1",,752.247425300000032,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5620",233151.157199999986915,8493520.826999999582767,"0",1049.170043999999962,3.309931758000000,"1",,900.059455299999968,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5621",233117.456199999985984,8494505.947000000625849,"0",1057.170043999999962,1.364700804000000,"6",,600.585208400000056,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5622",233083.761499999993248,8495491.063999999314547,"0",1037.189941000000090,1.761374865000000,"1",,372.970173400000022,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5623",233050.073000000003958,8496476.176999999210238,"56",1023.820007000000032,4.217275185000000,"1",,121.313130400000006,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5624",233016.390799999993760,8497461.287000000476837,"90",1022.179992999999968,5.310820541000000,"1",,286.681510399999979,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
"5625",232982.714899999991758,8498446.393999999389052,"6",1030.189941000000090,6.477552714000000,"1",,29.153573990000002,"0","0",,,,Cavalcante TOTAL,C:\Users\Asus\Desktop\Vinicius\Cavalcante TOTAL.shp|layername=Cavalcante TOTAL
