ID,X,Y,Population,Elevation,Weight,clusters,id_2,Weight_2,ID1,ID2,line_lengt,i
"4352",211972.117399999988265,8527612.882999999448657,"2",415.759002699999996,3.240795288146238,"9","0",4133.732084081208086,"4352","4411",762.365993886112960,"1"
"4406",213178.057999999989988,8522629.525000000372529,"11",467.994995099999983,7.037597828914055,"9","0",19872.549137507652631,"4406","4407",844.159865929725925,"2"
"4407",213144.460200000001350,8523473.016000000759959,"9",456.089996300000053,7.087139402442556,"9","0",19872.549137507652631,"4406","4407",844.159865929725925,"3"
"4407",213144.460200000001350,8523473.016000000759959,"9",456.089996300000053,7.087139402442556,"9","0",26944.033253848974709,"4407","4408",1003.087195888898805,"4"
"4408",212950.875000000000000,8524457.245999999344349,"6",441.585998500000017,9.029452392124741,"9","0",26944.033253848974709,"4407","4408",1003.087195888898805,"5"
"4408",212950.875000000000000,8524457.245999999344349,"6",441.585998500000017,9.029452392124741,"9","0",25921.282544319165027,"4408","4409",969.193527685398521,"6"
"4409",212849.879400000005262,8525421.162999998778105,"2",438.454009999999982,7.019193517715950,"9","0",25921.282544319165027,"4408","4409",969.193527685398521,"7"
"4409",212849.879400000005262,8525421.162999998778105,"2",438.454009999999982,7.019193517715950,"9","0",15595.210134569539150,"4409","4475",1333.015914985714971,"8"
"4410",212851.058300000004238,8526398.554999999701977,"8",427.855987500000026,7.036654777382847,"9","0",10386.069032388697451,"4410","4475",885.531398648835648,"9"
"4411",212697.264399999985471,8527377.587999999523163,"5",481.071014400000024,4.663527138014085,"9","0",4133.732084081208086,"4352","4411",762.365993886112960,"10"
"4474",213769.962599999998929,8525431.510999999940395,"4",448.097991900000011,7.044432742567331,"9","0",11574.523442051360689,"4474","4475",985.715391676119339,"11"
"4475",213736.404700000013690,8526416.654999999329448,"8",434.957000699999980,7.050560067610808,"9","0",15595.210134569539150,"4409","4475",1333.015914985714971,"12"
"4475",213736.404700000013690,8526416.654999999329448,"8",434.957000699999980,7.050560067610808,"9","0",10386.069032388697451,"4410","4475",885.531398648835648,"13"
"4475",213736.404700000013690,8526416.654999999329448,"8",434.957000699999980,7.050560067610808,"9","0",11574.523442051360689,"4474","4475",985.715391676119339,"14"
"4479",213602.240699999994831,8530357.203999999910593,"0",413.921997100000056,3.860159162581532,"9","0",15328.029864577867556,"4479","4544",1015.749912169465006,"15"
"4480",213638.761700000002747,8531293.422000000253320,"12",391.213012699999979,3.050111653454765,"9","0",4729.521008476302995,"4480","6778",1050.341497234035160,"16"
"4539",214785.153400000010151,8525464.706000000238419,"0",462.429992700000014,7.035160723872442,"9","0",17370.773016387298412,"4539","4604",1416.352134914944600,"17"
"4544",214617.449200000002747,8530390.364000000059605,"2",392.717987100000016,9.052147989043780,"9","0",15328.029864577867556,"4479","4544",1015.749912169465006,"18"
"4544",214617.449200000002747,8530390.364000000059605,"2",392.717987100000016,9.052147989043780,"9","0",42925.040160787728382,"4544","4609",1416.355148379009961,"19"
"4603",215867.458600000012666,8523527.627999998629093,"12",569.085998500000187,7.300140599620212,"9","0",24081.150860072568321,"4603","4604",985.706607990958332,"20"
"4604",215833.894499999994878,8524512.763000000268221,"2",673.437988299999802,7.278066845960715,"9","0",17370.773016387298412,"4539","4604",1416.352134914944600,"21"
"4604",215833.894499999994878,8524512.763000000268221,"2",673.437988299999802,7.278066845960715,"9","0",24081.150860072568321,"4603","4604",985.706607990958332,"22"
"4609",215666.174399999988964,8529438.399000000208616,"0",443.576995800000134,9.121972999158576,"9","0",42925.040160787728382,"4544","4609",1416.355148379009961,"23"
"4609",215666.174399999988964,8529438.399000000208616,"0",443.576995800000134,9.121972999158576,"9","0",31513.694913732095301,"4609","4675",1015.732091026284934,"24"
"4675",216681.365200000000186,8529471.554999999701977,"4",528.107971200000179,9.431110033070659,"9","0",31513.694913732095301,"4609","4675",1015.732091026284934,"25"
"5004",221790.724099999992177,8528652.168999999761581,"4",444.002990699999998,7.063929058695314,"9","0",24866.127153449077014,"5004","5071",1414.337802918184934,"26"
"5007",221690.214999999996508,8531607.403999999165535,"3",413.208007800000019,3.007083638691286,"9","0",17803.938117382112978,"6905","5007",1416.304805006931929,"27"
"5007",221690.214999999996508,8531607.403999999165535,"3",413.208007800000019,3.007083638691286,"9","0",9458.082558553081981,"5007","5072",1416.296039223607522,"28"
"5071",222772.363600000011502,8529670.370999999344349,"6",411.049011199999995,3.483140935753654,"9","0",24866.127153449077014,"5004","5071",1414.337802918184934,"29"
"5071",222772.363600000011502,8529670.370999999344349,"6",411.049011199999995,3.483140935753654,"9","0",7364.239188884516807,"5071","5072",985.641450216757903,"30"
"5071",222772.363600000011502,8529670.370999999344349,"6",411.049011199999995,3.483140935753654,"9","0",14818.901467345800484,"5071","5136",1416.285535852703561,"31"
"5072",222738.864000000001397,8530655.442999999970198,"3",401.305999799999995,1.000000000000000,"9","0",9458.082558553081981,"5007","5072",1416.296039223607522,"32"
"5072",222738.864000000001397,8530655.442999999970198,"3",401.305999799999995,1.000000000000000,"9","0",7364.239188884516807,"5071","5072",985.641450216757903,"33"
