id,X,Y,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster,Weight
"1",203063.538700000004610,8500450.506999999284744,"14",856.830993700000022,10.940922660000000,"1",,,4713.339815999999701,"2",6.067304134368896
"2",203063.538700000004610,8496450.506999999284744,"19",931.945007300000043,10.169076390000001,"1",,,4102.941652999999860,"2",6.146049499511719
"3",203063.538700000004610,8492450.506999999284744,"1",890.054016100000013,7.827373290000000,"1",,,1338.673784000000069,"2",6.023409366607666
"4",203063.538700000004610,8488450.506999999284744,"10",975.478027300000008,14.227068299999999,"1",,,2014.436852000000044,"2",6.290545463562012
"5",203063.538700000004610,8484450.506999999284744,"24",951.101989699999990,29.202256710000000,"1",,,5491.417927000000418,"2",6.712473392486572
"6",203063.538700000004610,8480450.506999999284744,"0",753.565002400000026,25.338500560000000,"5",,,8180.704961999999796,"2",6.736928939819336
"7",207063.538700000004610,8500450.506999999284744,"0",948.328979499999946,15.544678330000000,"1",,,2306.108264999999847,"2",6.196734428405762
"8",207063.538700000004610,8496450.506999999284744,"67",965.909973100000002,31.735264810000000,"1",,,942.145925400000010,"2",6.079482078552246
"9",207063.538700000004610,8492450.506999999284744,"14",1020.109985000000052,13.430843339999999,"1",,,975.018601600000011,"2",6.237720012664795
"10",207063.538700000004610,8488450.506999999284744,"18",883.843994100000032,25.088251249999999,"1",,,1610.298534999999902,"2",6.447366714477539
"11",207063.538700000004610,8484450.506999999284744,"89",729.094970699999976,25.583263270000000,"1",,,5345.947712000000138,"2",6.259360313415527
"12",207063.538700000004610,8480450.506999999284744,"0",867.817993200000046,13.299986400000000,"5",,,4270.851595000000088,"2",6.175041675567627
"13",211063.538700000004610,8500450.506999999284744,"0",1001.729979999999955,11.961394990000001,"1",,,4015.092273000000205,"2",6.268549442291260
"14",211063.538700000004610,8496450.506999999284744,"0",1055.109985000000052,2.178747828000000,"5",,,519.468382700000006,"2",4.209983825683594
"15",211063.538700000004610,8492450.506999999284744,"34",1026.489990000000034,4.154287423000000,"1",,,966.670632599999976,"2",6.132555007934570
"16",211063.538700000004610,8488450.506999999284744,"11",1098.189941000000090,18.764427580000000,"1",,,2552.034317000000101,"2",6.542654991149902
"17",211063.538700000004610,8484450.506999999284744,"31",795.083007800000019,26.319241200000000,"5",,,4336.975013000000217,"2",7.269096851348877
"18",211063.538700000004610,8480450.506999999284744,"46",601.656982399999947,12.930708750000001,"1",,,818.158232900000030,"2",6.257907390594482
"19",215063.538700000004610,8500450.506999999284744,"0",1070.630004999999983,3.051919010000000,"1",,,2020.083842000000004,"2",6.058273315429688
"20",215063.538700000004610,8496450.506999999284744,"267",1044.859985000000052,3.501930059000000,"5",,,570.511183800000026,"2",1.000000000000000
"21",215063.538700000004610,8492450.506999999284744,"0",833.817993200000046,21.646163520000002,"5",,,1889.898883000000069,"2",6.494534492492676
"22",215063.538700000004610,8488450.506999999284744,"0",1019.669983000000002,12.047029269999999,"1",,,4589.460350999999719,"2",6.557876586914063
"23",215063.538700000004610,8484450.506999999284744,"22",569.911010700000020,6.980735411000000,"5",,,1344.356974999999920,"2",5.782924175262451
"24",215063.538700000004610,8480450.506999999284744,"26",535.471008299999994,1.094970305000000,"1",,,511.040711699999974,"2",1.000000000000000
"25",219063.538700000004610,8500450.506999999284744,"0",1115.479980000000069,2.175486618000000,"1",,,331.265601800000013,"2",2.433248043060303
"26",219063.538700000004610,8496450.506999999284744,"0",1124.530029000000013,8.715385918999999,"5",,,3263.190175000000181,"2",6.250186443328857
"27",219063.538700000004610,8492450.506999999284744,"0",1274.109985000000052,7.175971935000000,"5",,,5429.271995000000061,,6.217685699462891
