Unnamed_ 0,id,X,Y,Population,Elevation,Weight,clusters
"6618","1",862636.462799999979325,8548197.419999999925494,"0",337.545013400000016,6.000000000000000,"12"
"6656","2",863672.788199999951757,8546233.883999999612570,"0",316.664001500000097,6.000000000000000,"12"
"6657","3",863662.825500000035390,8547220.098999999463558,"0",317.912994399999945,6.000000000000000,"12"
"6658","4",863652.853899999987334,8548206.311000000685453,"0",326.506011999999998,6.000000000000000,"12"
"6659","5",863642.873299999977462,8549192.520999999716878,"0",315.457000699999980,6.000000000000000,"12"
"6660","6",863632.884000000194646,8550178.728000000119209,"0",311.871002200000021,5.647985922999999,"12"
"6696","7",864689.183899999945424,8546242.752000000327826,"2",345.968994100000089,6.000000000000000,"12"
"6697","8",864679.223600000026636,8547228.975999999791384,"0",317.304992700000014,6.000000000000000,"12"
"6698","9",864669.254300000029616,8548215.197999998927116,"9",327.539001500000097,6.000000000000000,"12"
"6699","10",864659.276100000017323,8549201.416000001132488,"0",313.145996099999991,6.000000000000000,"12"
"6700","11",864649.289100000052713,8550187.632000001147389,"10",315.122985799999981,2.198550086000000,"12"
"6701","12",864639.293100000009872,8551173.846000000834465,"2",321.773986800000102,2.167544016500000,"12"
"6702","13",864629.288199999951757,8552160.057000000029802,"0",355.776000999999951,6.000000000000000,"12"
"6735","14",865715.537899999995716,8545265.381000000983477,"0",346.752014200000019,6.000000000000000,"12"
"6736","15",865705.588899999973364,8546251.616000000387430,"0",320.484008800000026,6.000000000000000,"12"
"6737","16",865695.630999999819323,8547237.849999999627471,"0",322.859985400000028,6.000000000000000,"12"
"6738","17",865685.664100000052713,8548224.080000000074506,"7",321.511993399999994,6.000000000000000,"12"
"6739","18",865675.688300000037998,8549210.308000000193715,"0",317.667999300000020,6.000000000000000,"12"
"6740","19",865665.703499999945052,8550196.532999999821186,"0",324.049011199999995,2.443221468500000,"12"
"6741","20",865655.709900000016205,8551182.755000000819564,"0",353.584991500000001,3.772873103000000,"12"
"6742","21",865645.707300000009127,8552168.974999999627471,"0",349.875000000000000,6.000000000000000,"12"
"6775","22",866731.949799999943934,8545274.231000000610948,"0",360.923004199999980,6.000000000000000,"12"
"6776","23",866722.003299999982119,8546260.475999999791384,"0",357.143005399999936,6.000000000000000,"12"
"6777","24",866712.047799999942072,8547246.718000000342727,"0",346.135986300000013,6.000000000000000,"12"
"6778","25",866702.083300000056624,8548232.957999998703599,"2",313.093994100000089,6.000000000000000,"12"
"6779","26",866692.109799999976531,8549219.195000000298023,"0",309.885986300000013,6.000000000000000,"12"
"6780","27",866682.127399999997579,8550205.428999999538064,"0",333.138000499999976,4.007915843000000,"12"
"6781","28",866672.135999999823980,8551191.660000000149012,"0",359.878997800000093,1.615988865000000,"12"
"6782","29",866662.135699999984354,8552177.890000000596046,"0",360.027008100000103,6.000000000000000,"12"
"6783","30",866652.126399999950081,8553164.116000000387430,"0",346.691986100000008,6.000000000000000,"12"
"6815","31",867748.371200000052340,8545283.076999999582767,"0",348.535003700000004,6.000000000000000,"12"
"6816","32",867738.427099999971688,8546269.331000000238419,"0",344.005004900000017,6.000000000000000,"12"
"6817","33",867728.474000000045635,8547255.582000000402331,"0",333.864013699999987,6.000000000000000,"12"
"6818","34",867718.511900000041351,8548241.831000000238419,"0",315.609985400000028,6.000000000000000,"12"
"6819","35",867708.540799999958836,8549228.076999999582767,"5",326.143005399999936,4.320625623500001,"12"
"6820","36",867698.560700000030920,8550214.320000000298023,"5",331.420013400000016,1.538940315000000,"12"
"6821","37",867688.571600000024773,8551200.561000000685453,"0",347.537994399999945,4.391835819500000,"12"
"6822","38",867678.573600000003353,8552186.799000000581145,"0",371.141998300000012,6.000000000000000,"12"
"6823","39",867668.566499999957159,8553173.035000000149012,"0",373.298004199999980,6.000000000000000,"12"
"6856","40",868754.860299999942072,8546278.182000000029802,"0",333.084014900000000,6.000000000000000,"12"
"6857","41",868744.909600000013597,8547264.441999999806285,"0",317.200988800000005,6.000000000000000,"12"
"6858","42",868734.949900000006892,8548250.699999999254942,"5",318.315002400000026,5.879139191999999,"12"
"6859","43",868724.981200000038370,8549236.955000000074506,"0",345.765014600000086,1.594099383000000,"12"
"6860","44",868715.003400000045076,8550223.207000000402331,"0",329.425994899999978,4.554618754000000,"12"
"6861","45",868705.016599999973550,8551209.457000000402331,"0",334.308990499999993,6.000000000000000,"12"
"6862","46",868695.020900000003166,8552195.705000000074506,"0",343.546997100000056,6.000000000000000,"12"
"6895","47",869781.242399999988265,8545300.755000000819564,"0",336.437988299999972,6.000000000000000,"12"
"6896","48",869771.303100000019185,8546287.027999999001622,"0",334.403991700000006,6.000000000000000,"12"
"6897","49",869761.354799999971874,8547273.297000000253320,"4",318.028015100000005,6.000000000000000,"12"
"6898","50",869751.397400000016205,8548259.563999999314547,"12",324.690002400000026,2.750351603000000,"12"
"6899","51",869741.430999999982305,8549245.827999999746680,"0",358.566009500000007,1.918699575500000,"12"
"6900","52",869731.455599999986589,8550232.089999999850988,"0",334.973999000000049,6.000000000000000,"12"
"6901","53",869721.471099999966100,8551218.348999999463558,"0",335.614013699999987,6.000000000000000,"12"
"6902","54",869711.477599999983795,8552204.606000000610948,"0",351.591003399999977,6.000000000000000,"12"
"6935","55",870797.692099999985658,8545309.587000001221895,"0",353.996002200000021,6.000000000000000,"12"
"6936","56",870787.755299999960698,8546295.868999999016523,"0",339.045990000000018,6.000000000000000,"12"
"6937","57",870777.809400000027381,8547282.148000000044703,"0",318.851013199999898,6.000000000000000,"12"
"6938","58",870767.854399999952875,8548268.424000000581145,"1",320.707000699999980,2.395481919000000,"12"
"6939","59",870757.890299999970011,8549254.697000000625849,"0",346.748992900000019,3.997115807000000,"12"
"6940","60",870747.917299999971874,8550240.968000000342727,"0",364.110992399999986,6.000000000000000,"12"
"6941","61",870737.935100000002421,8551227.235999999567866,"0",368.433013899999992,6.000000000000000,"12"
"6942","62",870727.943899999954738,8552213.502000000327826,"0",365.480987500000026,6.000000000000000,"12"
"6975","63",871814.151500000036322,8545318.414999999105930,"0",326.950988800000005,6.000000000000000,"12"
"6976","64",871804.217100000008941,8546304.706000000238419,"0",340.282989499999985,6.000000000000000,"12"
"6977","65",871794.273599999956787,8547290.993999999016523,"7",320.686004599999990,6.000000000000000,"12"
"6978","66",871784.320900000049733,8548277.278999999165535,"0",321.548004199999980,3.361111328000000,"12"
"6979","67",871774.359199999948032,8549263.562000000849366,"0",357.746002200000021,1.000000000000000,"12"
"6980","68",871764.388400000054389,8550249.842000000178814,"9",365.230987500000026,2.832744051500000,"12"
"6981","69",871754.408599999966100,8551236.118999999016523,"0",411.584991500000001,6.000000000000000,"12"
"6982","70",871744.419699999969453,8552222.393999999389052,"0",482.721008300000051,6.000000000000000,"12"
"7015","71",872830.620400000014342,8545327.237999999895692,"0",320.962005600000055,6.000000000000000,"12"
"7016","72",872820.688399999984540,8546313.537999998778105,"0",319.794006300000092,6.000000000000000,"12"
"7017","73",872810.747199999983422,8547299.835000000894070,"0",320.350006100000087,6.000000000000000,"12"
"7018","74",872800.797000000020489,8548286.130000000819564,"3",315.119995100000096,3.133356642000000,"12"
"7019","75",872790.837700000032783,8549272.422000000253320,"2",330.692993199999989,1.991017675500000,"12"
"7020","76",872780.869199999957345,8550258.711000001057982,"0",339.160003700000004,1.000000000000000,"12"
"7021","77",872770.891599999973550,8551244.997999999672174,"0",391.596008299999994,5.114955850000000,"12"
"7055","78",873847.098800000036135,8545336.057000000029802,"0",328.273986800000102,6.000000000000000,"12"
"7056","79",873837.169299999950454,8546322.366000000387430,"0",326.864013699999987,6.000000000000000,"12"
"7057","80",873827.230499999946915,8547308.672000000253320,"5",317.464996299999996,6.000000000000000,"12"
"7058","81",873817.282600000035018,8548294.975999999791384,"7",323.847991899999897,5.350665682500000,"12"
"7059","82",873807.325700000044890,8549281.277000000700355,"0",332.170013400000016,3.486983659500000,"12"
"7060","83",873797.359500000020489,8550267.575999999418855,"0",361.055999799999995,5.520767897000001,"12"
"7061","84",873787.384199999971315,8551253.872000001370907,"0",546.049987799999826,6.000000000000000,"12"
"7096","85",874853.659699999960139,8546331.188999999314547,"0",324.307006800000011,6.000000000000000,"12"
"7097","86",874843.723400000017136,8547317.505000000819564,"0",320.877014200000019,6.000000000000000,"12"
"7098","87",874833.777899999986403,8548303.817999999970198,"0",331.503997800000093,6.000000000000000,"12"
"7099","88",874823.823199999984354,8549290.127999998629093,"0",443.460998500000017,6.000000000000000,"12"
"7100","89",874813.859399999957532,8550276.436000000685453,"0",393.565002400000026,6.000000000000000,"12"
"7138","90",875850.282800000044517,8548312.654999999329448,"0",342.333007800000019,6.000000000000000,"12"
