id,Weight,ID1,ID2,line_lengt
"0",71470.380597007300821,"6962","6971",1015.706520298232931
"0",71873.466985632534488,"6962","6946",1015.713611854517694
"0",53360.662017611051851,"6228","6294",1416.136699489837838
"0",56186.680336552497465,"6228","6162",1416.144941099774542
"0",57757.655850542148983,"6229","6296",1015.539934129966923
"0",45825.003892108092259,"6229","6162",1015.546625985977244
"0",27743.271590934091364,"4411","4412",977.119831216160946
"0",82941.430792783896322,"4411","4475",1415.346174465286367
"0",9785.491846874194380,"4412","4413",978.415442884040772
"0",71613.714846179398592,"6971","6979",1015.699461301364977
"0",34185.969708281714702,"4413","4479",1406.637195891290276
"0",69825.731356826101546,"6276","6277",985.592604759567507
"0",69804.921433480631094,"6277","6278",985.590398034885425
"0",71638.687423367839074,"6979","6989",1015.692602221314246
"0",69808.283689581701765,"6278","6279",985.586192511589388
"0",69610.639675059646834,"6279","6280",985.582989848709531
"0",99771.147511778865010,"4475","4539",1416.361795005411750
"0",32381.709412021267781,"4479","4480",936.930054468124354
"0",69762.112069305541809,"6986","6987",985.595472044216876
"0",71946.977024770530988,"6986","6996",1015.676466423598868
"0",69176.226932697274606,"6987","6988",985.592253249219311
"0",69250.410521552825230,"6988","6989",985.591036740747199
"0",72645.484793083800469,"6284","6351",1015.491241980864970
"0",53086.360215751090436,"4480","6794",1403.567325574577580
"0",71893.706329848588211,"6280","6347",1015.476266151020241
"0",79347.799701486874255,"4539","4538",985.710500117986271
"0",60413.657608506371616,"6292","6293",985.542340876016624
"0",79015.303809580946108,"6292","6358",1416.127232376861912
"0",99673.949616076133680,"6996","7005",1416.248734744734065
"0",42538.619977713686239,"6294","6293",985.540134732693332
"0",73961.160619516653242,"6296","6363",1015.533574689934426
"0",113931.197796030668542,"7005","7013",1416.240191132288373
"0",81600.868340299974079,"7013","7023",1015.649615540016157
"0",71720.066008758265525,"6347","6412",1015.469773668074026
"0",41251.590041214258235,"6351","6416",1015.484649696543443
"0",71462.939021195576061,"7023","7033",1015.642691359083642
"0",72558.922566178516718,"6768","6769",1031.723048349022747
"0",51857.926406341517577,"6768","6781",1290.473765029507149
"0",65711.978497893505846,"6769","6770",935.970207426837874
"0",69149.930131679037004,"6770","6771",985.687529583094147
"0",46193.061159282377048,"6358","6422",1416.118096460766992
"0",66411.235292557030334,"6771","6772",945.283977422931684
"0",74942.975125281227520,"6363","6428",1015.526882894079563
"0",99659.374659811262973,"7033","7039",1416.214823295133556
"0",27583.237573644564691,"6779","6780",923.171100739596341
"0",48575.525572854865459,"6779","6794",1362.815896718431759
"0",21513.492318171003717,"6780","6781",986.594685903443178
"0",21697.135860876216611,"6781","6797",1015.765761125660219
