X,Y,Population,Elevation,Weight,clusters,PS,line_lengt,id
211972.117399999988265,8527612.882999999448657,"2",415.759002699999996,3.240795288146238,"9","0",,"1"
212079.966699999989942,8528943.857999999076128,"0",392.740997300000004,4.766238595890526,"9","0",,"2"
212086.277899999986403,8529971.024000000208616,"0",384.544006299999978,6.018459987442312,"9","0",,"3"
213178.057999999989988,8522629.525000000372529,"11",467.994995099999983,7.037597828914055,"9","0",,"4"
213144.460200000001350,8523473.016000000759959,"9",456.089996300000053,7.087139402442556,"9","0",,"5"
212950.875000000000000,8524457.245999999344349,"6",441.585998500000017,9.029452392124741,"9","0",,"6"
212849.879400000005262,8525421.162999998778105,"2",438.454009999999982,7.019193517715950,"9","0",,"7"
212851.058300000004238,8526398.554999999701977,"8",427.855987500000026,7.036654777382847,"9","0",,"8"
212697.264399999985471,8527377.587999999523163,"5",481.071014400000024,4.663527138014085,"9","0",,"9"
212654.100700000009965,8528353.754000000655651,"5",409.779998799999987,1.000000000000000,"9","0",,"10"
212639.071100000001024,8529332.053999999538064,"0",393.601989699999990,1.000000000000000,"9","0",,"11"
212613.686799999995856,8530310.875000000000000,"0",387.304992700000014,4.143256679239196,"9","0",,"12"
212910.339799999987008,8530893.173000000417233,"0",379.425994899999978,4.665665908843353,"9","0",,"13"
214373.257899999996880,8518097.595000000670552,"0",937.557983400000012,6.452718292025888,"9","0",,"14"
214410.820700000011129,8520999.614000000059605,"0",508.609985399999857,9.101018938535070,"9","0",,"15"
214087.742800000007264,8521612.542999999597669,"0",530.864990199999966,9.213449351491141,"9","0",,"16"
213880.468599999992875,8522486.221000000834465,"0",598.138000499999976,9.268499506973304,"9","0",,"17"
213837.098700000002282,8523461.216000000014901,"0",580.619995099999983,7.403041419429343,"9","0",,"18"
213803.527299999987008,8524446.365000000223517,"0",460.278991700000006,9.033017016907262,"9","0",,"19"
213769.962599999998929,8525431.510999999940395,"4",448.097991900000011,7.044432742567331,"9","0",,"20"
213736.404700000013690,8526416.654999999329448,"8",434.957000699999980,7.050560067610808,"9","0",,"21"
213702.853600000002189,8527401.796000000089407,"0",429.864990200000022,7.061156622119429,"9","0",,"22"
213669.309199999988778,8528386.934000000357628,"0",398.634002699999996,7.022895336189313,"9","0",,"23"
213635.771600000007311,8529372.070000000298023,"0",408.878997799999979,6.345531379770822,"9","0",,"24"
213602.240699999994831,8530357.203999999910593,"0",413.921997100000056,3.860159162581532,"9","0",,"25"
213638.761700000002747,8531293.422000000253320,"12",391.213012699999979,3.050111653454765,"9","0",,"26"
215245.665899999992689,8518355.269999999552965,"0",935.333984399999963,1.000000000000000,"9","0",,"27"
215089.063800000003539,8520916.321000000461936,"0",551.633972200000017,9.182364140247568,"9","0",,"28"
214919.437899999989895,8521524.133999999612570,"0",724.757019000000014,9.653401390361873,"9","0",,"29"
214885.856700000003912,8522509.280999999493361,"0",859.731018100000028,9.158822124017783,"9","0",,"30"
214852.282199999986915,8523494.425000000745058,"0",622.033019999999965,7.230917399425325,"9","0",,"31"
214818.714399999997113,8524479.566999999806285,"2",476.765014600000143,9.062752453023196,"9","0",,"32"
214785.153400000010151,8525464.706000000238419,"0",462.429992700000014,7.035160723872442,"9","0",,"33"
214751.599099999992177,8526449.843000000342727,"0",488.541992199999981,7.535645509289623,"9","0",,"34"
214718.051500000001397,8527434.976999999955297,"0",420.239013699999987,7.026118476837653,"9","0",,"35"
214684.510600000008708,8528420.107999999076128,"0",412.190002400000026,7.033704805129576,"9","0",,"36"
214650.976499999989755,8529405.236999999731779,"0",425.032012899999984,7.027908579111550,"9","0",,"37"
214617.449200000002747,8530390.364000000059605,"2",392.717987100000016,9.052147989043780,"9","0",,"38"
214583.928500000009080,8531375.487999999895692,"0",418.140991199999974,5.649155213280813,"9","0",,"39"
216036.181299999996554,8518601.200999999418855,"0",928.952026400000022,4.279295696340754,"9","0",,"40"
216079.888600000005681,8519584.892000000923872,"0",853.859008799999970,9.468641699905401,"9","0",,"41"
216047.721599999989849,8520623.076999999582767,"0",640.469970700000204,9.517257105143770,"9","0",,"42"
215934.606999999989057,8521557.350999999791384,"0",869.697021500000005,9.037247014927914,"9","0",,"43"
215901.029500000004191,8522542.491000000387430,"0",857.257018999999900,9.091733103262634,"9","0",,"44"
215867.458600000012666,8523527.627999998629093,"12",569.085998500000187,7.300140599620212,"9","0",,"45"
215833.894499999994878,8524512.763000000268221,"2",673.437988299999802,7.278066845960715,"9","0",,"46"
215800.337100000004284,8525497.894999999552965,"0",527.401977500000044,7.359967598981160,"9","0",,"47"
215766.786300000007031,8526483.025000000372529,"0",470.821014400000024,9.273352444689461,"9","0",,"48"
215733.242300000012619,8527468.152000000700355,"0",435.819000200000005,9.049398059758461,"9","0",,"49"
215699.704999999987194,8528453.277000000700355,"0",423.877014200000019,7.060570775772523,"9","0",,"50"
215666.174399999988964,8529438.399000000208616,"0",443.576995800000134,9.121972999158576,"9","0",,"51"
215632.650499999988824,8530423.517999999225140,"0",474.824005100000022,9.327599867144595,"9","0",,"52"
215599.133299999986775,8531408.635999999940395,"0",527.995971700000041,9.201155693920573,"9","0",,"53"
217050.530599999998230,8518635.145999999716878,"0",1183.969970999999987,9.124505888360382,"9","0",,"54"
217016.936799999995856,8519620.287999998778105,"0",1174.099975999999970,7.147565896663838,"9","0",,"55"
216983.349599999986822,8520605.426000000908971,"0",1064.780029000000013,7.898382550178100,"9","0",,"56"
216949.769100000004983,8521590.562000000849366,"0",1054.569946000000073,7.356550361444249,"9","0",,"57"
216916.195199999987381,8522575.695000000298023,"0",891.307006799999954,7.430013236678455,"9","0",,"58"
216882.627999999996973,8523560.825999999418855,"0",568.362976099999969,9.309606175848236,"9","0",,"59"
216849.067500000004657,8524545.953999999910593,"0",814.887023900000031,7.065504071335353,"9","0",,"60"
216815.513700000010431,8525531.078999999910593,"0",710.229003899999952,7.318156328802884,"9","0",,"61"
216781.966500000009546,8526516.201999999582767,"0",565.312988299999802,9.268332527523937,"9","0",,"62"
216748.426100000011502,8527501.322000000625849,"0",480.820007299999986,9.187435436683502,"9","0",,"63"
216714.892300000006799,8528486.438999999314547,"0",590.333007800000019,9.533075048763166,"9","0",,"64"
216681.365200000000186,8529471.554999999701977,"4",528.107971200000179,9.431110033070659,"9","0",,"65"
216647.844799999991665,8530456.667000001296401,"0",641.020996100000048,9.509918243562140,"9","0",,"66"
216614.331100000010338,8531441.777999999001622,"0",645.114990200000193,9.449416794730826,"9","0",,"67"
218032.084399999992456,8519653.507000001147389,"0",1143.689941000000090,7.144096696297788,"9","0",,"68"
217998.500999999989290,8520638.639000000432134,"0",1151.630004999999983,7.270195707435883,"9","0",,"69"
217964.924100000003818,8521623.767000000923872,"0",1087.099975999999970,7.088581880954663,"9","0",,"70"
217931.353899999987334,8522608.893999999389052,"0",947.135986300000013,7.876229463895180,"9","0",,"71"
217897.790399999998044,8523594.017000000923872,"0",655.166992199999981,9.711695145540810,"9","0",,"72"
217864.233500000002095,8524579.138000000268221,"0",801.505981399999882,9.780822886061305,"9","0",,"73"
217830.683300000004238,8525564.257000001147389,"0",887.703979499999946,9.598991318129183,"9","0",,"74"
217797.139800000004470,8526549.372999999672174,"0",929.921997099999999,9.505507095312453,"9","0",,"75"
217763.602899999998044,8527534.485999999567866,"0",876.919982900000036,9.185604433049017,"9","0",,"76"
217730.072600000014063,8528519.597000000998378,"0",682.812988299999802,9.342575647423898,"9","0",,"77"
217696.548999999999069,8529504.705000000074506,"0",510.851013200000011,7.295639173537295,"9","0",,"78"
217663.032000000006519,8530489.811000000685453,"0",571.021972700000106,9.088454761466602,"9","0",,"79"
217629.521799999987707,8531474.913999998942018,"0",621.606994600000007,7.335989946287584,"9","0",,"80"
218980.072199999995064,8521656.967000000178814,"0",1083.250000000000000,10.300230874546477,"9","0",,"81"
218946.505700000008801,8522642.086000001057982,"0",695.137023900000031,9.337315133049270,"9","0",,"82"
218912.945799999986775,8523627.202999999746680,"0",688.510009799999807,9.272925060375973,"9","0",,"83"
218879.392599999991944,8524612.316999999806285,"0",1070.140014999999948,9.168073398474027,"9","0",,"84"
